id,area,Y,M,O,total
2512003,1.1565052660284798,1550,3876,2733,8159
2512004,1.4340468457354,3976,9940,7007,20923
2512005,0.768739247347228,2362,5905,4163,12430
2512006,1.26888623812961,5057,12643,8913,26613
2512007,57.7675208374281,3165,7907,5130,16202
2512008_AD,130.898197161772,1824,4770,3168,9762
25122_AM,106.341228125064,979,2848,1167,4994
25137,6.95212570153655,1916,7222,4577,13715
25158_AM,53.940220056818205,1082,2895,1307,5284
25171_AM,559.1734551185531,977,2592,1192,4761
25172_AM,429.755388605558,972,2619,1456,5047
25173_AM,715.208655735635,848,2559,1300,4707
25189_AM,68.7179921259224,1472,4081,1598,7151
25192_AM,383.445956052254,1034,2919,1453,5406
25193_AM,971.88958395519,929,2501,1112,4542
25203,15.1602191289468,2213,5437,4171,11821
25204_AM,456.58662443562105,1383,3669,1562,6614
25207,18.2446047706227,1421,4273,3136,8830
25209_AM,703.995150382501,1289,3149,1037,5475
25217,88.0599245533174,1686,8020,6983,16689
25223_AM,737.049437218644,1068,2776,1321,5165
25228,23.3716794222353,880,2835,763,4478
25234,302.6956509235,1407,3197,875,5479
25240_AM,115.61752529298,1040,2855,1413,5308
25243_AM,377.83653376362,1704,4332,2135,8171
26002_AM,717.851915110203,1556,4209,1697,7462
26005_AM,113.918072201748,2108,5324,2364,9796
26011,194.198812154722,2130,5846,2135,10111
26018,85.4776348269196,2412,8561,3993,14966
26021_AM,140.154493677665,1412,3688,1719,6819
26026_AM,173.98108868841,1009,2851,1333,5193
26036,93.58281435863807,6058,15282,3425,24765
26042_AM,418.267671749273,1484,3202,809,5495
26047_AM,614.47780805063,1000,2638,1170,4808
26059_AM,712.1556321630829,1182,3211,1505,5898
26061_AM,1038.1445964729,977,2795,1352,5124
26064_AM,94.62647429318908,1911,4606,2352,8869
26071_AM,42.93703385327501,2558,6667,2890,12115
26084,20.6581031751126,2067,5303,2648,10018
2608901_AD,12.581668593810202,1609,4504,1822,7935
2608902,25.977926958484097,8568,23535,8818,40921
2608903,1.21432049331004,5260,14718,5951,25929
2608904,20.5556490073627,10657,29773,12088,52518
2608905,18.604948107753103,3438,9617,3897,16952
26102,37.4668869448338,1324,3923,2884,8131
26117_AM,123.143983140312,1028,2991,1215,5234
26125_AM,58.856870336893095,1368,3774,1447,6589
26129_AM,211.48603251427,1223,2969,1318,5510
26138,40.0978422563235,1529,3345,1380,6254
26168,20.4648011071455,1990,4897,925,7812
27005_AM,217.677830790642,1358,3733,1629,6720
27006_AM,858.145173807783,1416,4182,2073,7671
27010,177.115201446511,1142,2928,1524,5594
27011_AM,469.077725419604,1332,3168,1255,5755
27013_AM,167.358065694261,1671,4412,2010,8093
27014_AM,298.771858679169,977,3416,2006,6399
27015,144.80582019908402,1108,2939,939,4986
27016,177.11132825423,1733,4677,2025,8435
27018_AM,826.062949095613,1186,3403,1087,5676
27019,100.451110082955,2339,5499,2258,10096
27020_AM,447.13514564229,1056,3702,1876,6634
27021_AM,549.6810493608659,1039,2797,1249,5085
27022,294.67775316922996,1425,3703,365,5493
27026_AM,455.840771947303,1431,3582,1494,6507
2702801_AD,8.7956816356155,3719,8061,3856,15636
2702802,7.25206404408285,6389,13848,6624,26861
2702804_AD,82.4555469328448,5249,11409,5443,22101
2702805,9.92754071399272,5667,12283,5875,23825
2702806_AD,221.70728817631505,1518,3317,1585,6420
27030_AM,330.74701441597,1507,4746,1543,7796
27031,199.661334075265,3199,9691,6452,19342
27032_AM,261.413314919633,1507,4105,1377,6989
27039_AM,266.289717001217,2525,5547,2059,10131
27040_AM,304.316142481373,816,2750,2291,5857
27041_AM,416.43587263903,1817,4090,1831,7738
27042_AM,311.20693685956,1335,2856,1016,5207
27044_AM,371.579280637796,1234,3318,1397,5949
27048_AM,248.699060500408,1038,3093,1477,5608
27050_AM,562.003483578889,1429,3353,1368,6150
27051,108.712895937625,2238,5755,2216,10209
27057,184.707971063208,2977,7261,3591,13829
27058_AM,287.799023375638,1150,2898,1405,5453
27065,378.683665896546,3211,8825,2732,14768
27066,108.436345208258,3762,9001,3118,15881
27902,8.06402183813078,2200,4739,2467,9406
28002,19.7874777632009,1235,2535,1207,4977
28004,22.0191361680914,2614,5729,1514,9857
2800501,1.7595676162825198,8444,20894,1480,30818
2800502,16.3612102301355,14076,35092,3213,52381
2800503,28.2854757271882,7383,18428,1999,27810
2800504,15.1465077108581,9322,23499,2783,35604
2800505,26.9721227316031,11716,29240,2511,43467
2800601,45.3074076513966,25627,63805,19335,108767
2800701,22.711718555651697,3232,15037,11650,29919
2800702,3.72702411670718,5473,24384,18451,48308
2800703,1.5210264774976898,3452,16143,12539,32134
2800704,5.69373772525503,5944,27386,21131,54461
28008_AM,114.97684129171,1526,3585,921,6032
28009,37.9725440465178,3856,10818,5472,20146
28010,12.6785508246557,2571,7758,4370,14699
2801301,1.46188794060657,1241,5676,6827,13744
2801302,1.5177035163912802,1458,6670,8022,16150
2801303,2.32610144084187,1538,7033,8459,17030
2801304,184.482295359008,1689,4987,3590,10266
28014,80.46833738590661,8124,29672,15467,53263
28015,20.833595396758295,7735,14270,7415,29420
28018,29.5712809927795,545,3337,2432,6314
28022,47.4837350528373,11391,25494,13868,50753
28023,40.9449196626283,1348,4812,2619,8779
28026,49.1962646649741,3167,7139,916,11222
28027_AM,563.7119579128489,1778,4711,2203,8692
28030_AM,46.2464482482812,1368,3633,1533,6534
28031_AM,145.332134661501,1388,3777,1515,6680
28032_AM,53.9394835300732,1675,4745,2819,9239
28033,61.887299477306904,1385,3670,1408,6463
